timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,1.6297578336433922,0.0026564387724783184,2.548771300416226,1.0,0.535841171910972,0.6012680855191089,1.375,0.2949132498592347,0.5991623038456746,-0.6151453634641282,18.426413265064102,281.0138854954614,0.3122087011293546,13.572640632143713,nan,nan,nan,nan
800,100,0.9304527703860649,-0.7156656329354876,2.204277849507088,1.0,0.5423917202631816,0.6301274017298829,1.0,0.21424515619286832,0.2824341907600168,-0.5845693776868295,20.494211744467812,164.38483013826357,0.4280853829769114,14.146609171261698,nan,nan,nan,nan
1200,150,-2.443160772102147,-4.720000000000001,0.0,1.0,0.92948949613492,0.8106056293116588,5.5,0.8063672307753054,0.7739788060017037,-0.6628258271040979,28.47841002906847,488.245339714922,0.9703760496084579,1.1055578116793185,-0.9078700393438339,2.3454103767871857,nan,nan
1600,200,0.000967647874017201,0.0,0.0052572565958818535,1.0,0.9285567390616052,0.931796779249722,0.0,0.0,-0.522567512777634,-0.5235756525752082,0.6461229327192994,480.6806710548699,0.07282498633954673,29.412686589639634,-1.102456271648407,2.6482127010822296,nan,nan
2000,250,0.0009110346901472955,0.0,0.00557410249966534,1.0,0.9486982512607938,0.9514865609167925,0.0,0.0,-0.5226214119368133,-0.5235702421375361,0.4012376060982933,485.37407295953017,0.04378690327750519,29.21466431405861,-0.5993809401988983,1.702089563012123,nan,nan
2400,300,0.0008079304877432745,0.0,0.006463443901946196,1.0,0.9459580249895225,0.9487222074883114,0.0,0.0,-0.5227195733444139,-0.5235900155255906,0.9179097123839891,482.3822434991598,0.025147531753609655,29.18177545303479,-0.3646688424050808,1.6921769082546234,nan,nan
2800,350,3.9152074462938766e-05,0.0,0.0003132165957035101,1.0,0.9441833592718467,0.9496695947310758,0.0,0.0,-0.5234514966746078,-0.5235513582237106,0.7871969075663946,497.40083614597097,0.06824743166565896,29.34948113397695,-0.24092344008386135,1.222580425441265,nan,nan
3200,400,0.0,0.0,0.0,1.0,0.9491244456439745,0.9523052024643754,0.0,0.0,-0.5234887718064661,-0.5235964058915682,0.6658672596607357,491.46383148035966,0.06688458406133577,29.839498079381883,-0.1961672455072403,1.1957352980971336,nan,nan
3600,450,0.9587252132005629,0.0,1.989617546002445,1.0,0.9389937870728318,0.8040752572624349,0.625,0.13879562403115392,0.2639378520673079,-0.5824748393355088,1.669188917968422,487.12749779224396,0.9890291905496269,29.10416829341557,-0.6004846096038818,0.9422658383846283,nan,nan
4000,500,0.44742282078982404,0.0,1.3694247130558572,1.0,0.9294306677766144,0.8202676761817351,0.375,0.08327737441869235,-0.046418248763429606,-0.5566949939984416,0.46414163002744313,471.29243158269674,0.9684607033454813,28.898323494940996,-0.567985400557518,1.0828115493059158,nan,nan
4400,550,0.7619446099876842,0.0,1.9405737038167339,1.0,0.9240751688485034,0.8051235910397649,0.625,0.13618634327882795,0.10880165492146411,-0.5735363541066966,1.1829905827227045,477.40292915841565,0.9779680721275509,28.641350269317627,-0.5596657618880272,1.0416693165898323,nan,nan
4800,600,0.7862851127491481,0.0,1.7264641615356582,1.0,0.930636280507315,0.8153830097942153,0.625,0.13879562403115392,0.2700556508521234,-0.5840859857391976,0.7578609060891903,480.26562930317596,0.975282528582029,28.51936363382265,-0.5343291014432907,1.0717804729938507,nan,nan
