episode,timesteps,episode_return,episode_length,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,electrode_radius,theta,phi,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,action_abs_mean,action_std,train_actor_loss,train_critic_loss
1,80,37.27231641695367,10,4.0,0.8712768854822558,0.6419646581019114,-0.6402927827363486,0.779016027645211,2.196773699891643,1.2157063463961717,nan,274.2595431131588,nan,nan,0.45725965411748454,0.5320617991455341,nan,nan
2,80,4.652878060139047,10,1.0,0.4143496790557187,0.12110607646272216,-0.5695170398870542,1.3645649170473138,4.839446660688356,3.106635167216054,nan,303.4699941745491,nan,nan,0.4984388528549754,0.5865716573108339,nan,nan
3,80,49.48582575317143,10,5.5,0.884102216820833,0.6308435970082871,-0.6382281508282784,0.8754553903614252,2.4125079896264,0.15541278052585294,nan,217.00779042562436,nan,nan,0.49536051570513384,0.5747270155165572,nan,nan
4,80,6.923105812267156,10,1.0,0.503993732733194,0.2465133802050657,-0.5742492034978607,1.158024528238494,1.915018127070945,2.590894548354177,nan,323.82201169107896,nan,nan,0.5114839330862745,0.584643501466327,nan,nan
5,80,77.14161793352156,10,7.9,0.8999681809841773,0.6189600402407529,-0.6461074538687226,0.5735890172245662,5.134163076683828,0.17775711466290534,nan,229.30847161633886,nan,nan,0.5586665065577585,0.6182193106307182,nan,nan
6,80,30.35114264441343,10,3.5,0.8637239321329035,0.6424521359407365,-0.6350584853413335,0.853266684506141,3.6672311955452352,2.7157588566026205,nan,245.7771746173174,nan,nan,0.48171637854654586,0.5862305488438163,nan,nan
7,80,16.159540219158323,10,2.7,0.7679717636927654,0.5200087618066593,-0.6196063169940642,0.9852456956653772,1.1091720877177542,1.0330635321172679,nan,313.20301195668264,nan,nan,0.5028560016566834,0.5808037561536362,nan,nan
8,80,14.77372114520771,10,1.8,0.703703188953763,0.5131930337018242,-0.6082085117010346,1.001220416934864,3.445221737435593,2.4910918835438585,nan,161.36113186534354,nan,nan,0.5530172690291721,0.6154179205389431,nan,nan
9,160,55.570894668362044,10,5.9,0.998774926449903,0.7690147317709092,-0.6641983156512767,0.5953711744920146,3.9170018416234753,2.6856212895442675,nan,284.2594795304459,nan,nan,0.541993374445881,0.6194254480527431,nan,nan
10,160,17.340980770552164,10,2.0,0.7310295664861921,0.5120486492073747,-0.6082866179716337,0.8888145731975223,1.1688520946584653,0.9130746185038494,nan,227.41424329604624,nan,nan,0.5158970898789702,0.5840726690610504,nan,nan
11,160,5.690434093644301,10,1.1,0.6432088894478963,0.5021183308018135,-0.588923102387515,1.2709896830124388,5.504098040316568,1.195398704484023,nan,254.4546379645858,nan,nan,0.5013532426813887,0.5550482615183912,nan,nan
12,160,12.08757315002584,10,1.6,0.6719839962407604,0.3814263567264809,-0.6008961152942216,1.3865220831875609,6.241988969974669,0.7839601342119689,nan,296.00063877479147,nan,nan,0.48435971212805207,0.5521382307599011,nan,nan
13,160,30.564538894968507,10,3.8,0.7993633380240545,0.5202862327095297,-0.6331484267771936,0.8398546821144774,4.149055915406143,2.809777273095229,nan,229.74306024288234,nan,nan,0.49254205960117725,0.5564773189968761,nan,nan
14,160,7.710682874297704,10,1.3,0.58089121330285,0.37350165708273475,-0.5849453786642437,1.36526642696654,5.601010674098316,2.8929753327737955,nan,216.06947198549892,nan,nan,0.4534970608779312,0.5216726774273156,nan,nan
15,160,8.135113456214201,10,1.2,0.6289899018908683,0.4921618544897314,-0.5862029189897544,1.3221909978779731,2.459972090992475,0.5178255121407354,nan,267.6496189024052,nan,nan,0.521992917142332,0.5593163833183231,nan,nan
16,160,34.33673997053326,10,3.6,0.9786115486570269,0.7738026200099929,-0.6499892064500479,0.7502631121836054,3.1018128614090004,2.5842777883850783,nan,320.03834844048396,nan,nan,0.5398705796552816,0.6069016392729621,nan,nan
17,240,1.8091256196822814,10,0.8,0.4092443418393142,0.1144451699945476,-0.566021949410746,1.2475028732310207,1.1720587182381577,1.846784228704752,nan,301.7446157392097,nan,nan,0.5158371584040731,0.5913048325127166,nan,nan
18,240,37.15566353405321,10,4.3,0.8707052549378604,0.6363742109524075,-0.6476642923464351,0.8027613641283772,3.2243245000778202,2.2450065955686416,nan,250.23171857879842,nan,nan,0.5391270295552878,0.6018065564438773,nan,nan
19,240,8.233853949837254,10,1.7,0.6993340589619625,0.5071324929863716,-0.6050447063279306,1.0706663704888133,5.621614470112881,2.215621243592416,nan,299.93446903168035,nan,nan,0.48499457316781225,0.5484747624775277,nan,nan
20,240,7.868830956650798,10,1.2,0.598743123627074,0.3721616900122406,-0.5881870256880601,1.0861094598060748,2.7692111078992863,2.160177208530131,nan,219.72713031191225,nan,nan,0.5562253669886681,0.6426136745871691,nan,nan
21,240,58.62056839333735,10,6.7,0.79997532521987,0.48651714334226026,-0.6391133146187833,0.6556711625625781,0.6839401976507613,1.2964856738561283,nan,219.6720561588433,nan,nan,0.43855536784656896,0.5177211779999787,nan,nan
22,240,4.279019672625016,10,0.7,0.270029185124612,-0.13402000762416222,-0.5516102680179438,1.2838302917946653,1.1994200563396742,2.730767867802386,nan,289.000978539702,nan,nan,0.552663466053676,0.6265897695100722,nan,nan
23,240,4.192419477531496,10,0.6,0.3144949509454342,-0.01322779640677616,-0.557275900805034,1.2514778794140566,0.6842227311832891,1.4796932056840733,nan,169.96395170862326,nan,nan,0.4934028763560077,0.5608210202491912,nan,nan
24,240,2.078439150179308,10,0.3,0.21537643005975388,-0.14142838641693084,-0.5417377674075159,1.3852076743351578,2.868437679420494,2.631255115657467,nan,171.76891428718247,nan,nan,0.5295213084136396,0.603622310331803,nan,nan
25,320,33.036138571490575,10,3.9,0.9372474327554878,0.7748424155034033,-0.6459261783380673,0.7160616369738362,6.154115653577738,2.8889660192994517,nan,298.7382352073105,nan,nan,0.5436551569037598,0.6126177733236378,nan,nan
26,320,41.92710528963199,10,4.4,0.7945677437045628,0.5087286885074068,-0.6379701848817846,0.6130508928216747,2.8733894555122528,1.8071805736355528,nan,260.4458562316549,nan,nan,0.5254887365983197,0.6038556231771158,nan,nan
27,320,36.38002929275206,10,4.1,0.9600704174342221,0.7661688377804003,-0.6490244505119509,0.8944713877144136,4.38636328327948,1.9566295493076051,nan,277.7693007488468,nan,nan,0.4518568529379984,0.5506294711342727,nan,nan
28,320,9.40805086311275,10,1.4,0.4912234744366013,0.135521572930159,-0.5834620403233749,1.3930451065482758,1.8074677920690725,0.16551514457853372,nan,286.15197404820094,nan,nan,0.5036505459492935,0.5883346617339836,nan,nan
29,320,3.25511072719684,10,0.7,0.31523115817003833,-0.016359157509230594,-0.5550137715134754,1.0283861017001263,0.6381827469762055,2.515158145670042,nan,221.55809414880432,nan,nan,0.4753543429325716,0.5593315615548153,nan,nan
30,320,26.886124056190017,10,3.2,0.8908851950876393,0.6503580747216693,-0.6291158186285264,0.7690161470834093,0.9099608296896082,2.155281426986606,nan,259.7256070331972,nan,nan,0.4918651765516839,0.5607053698029554,nan,nan
31,320,19.83387771588106,10,2.5,0.7864185287756543,0.5190548325741845,-0.6223154392398829,1.0117123853798762,3.3137809955385054,2.5342834156975953,nan,244.464136320937,nan,nan,0.4799782810562476,0.556419344160996,nan,nan
32,320,-0.5063459049771497,10,0.5,0.31012582095363384,-0.011220504141851906,-0.5543164276221836,1.4970577674047285,1.2864011221419698,1.6697490630374041,nan,260.8013273905746,nan,nan,0.487575941031335,0.5631644963513347,nan,nan
33,400,52.69724992965623,10,5.8,0.8989444838466311,0.6416564076822497,-0.6521952135680325,0.6422226251065225,5.610805066936157,2.37560339037525,nan,314.27626411682525,nan,nan,0.5329174409044825,0.6034297077069651,nan,nan
34,400,18.487158133980763,10,2.6,0.8317419059260308,0.6473015562980574,-0.6265126139427798,1.364425818953321,2.5015053619174257,0.09897761739877428,nan,242.09604509515174,nan,nan,0.43858886854168666,0.5133825097335345,nan,nan
35,400,64.9566531520581,10,7.0,0.9989708927433953,0.7519979735362033,-0.6658739448406389,0.8265751350974806,4.744495492668837,0.663115612811022,nan,297.3357548526271,nan,nan,0.42065667933294126,0.5049598362825245,nan,nan
36,400,78.86184458997487,10,8.3,0.8991139531585407,0.6212228508361284,-0.6358180073023648,0.7114061775438177,3.80111165624124,0.1517745162257869,nan,242.55014734572106,nan,nan,0.49632192426521327,0.5805428664930169,nan,nan
37,400,74.2490112080712,10,8.0,0.9990867850381531,0.7561077598359336,-0.6609841479147855,0.5148984706133795,5.723338463666449,2.7512635456636794,nan,307.693544420194,nan,nan,0.5117494550867554,0.5500687286998809,nan,nan
38,400,22.245515053907233,10,2.4,0.6682384396874309,0.3869642045951709,-0.6088161861304305,1.0469397676565508,3.381710068320275,0.39446694685669076,nan,188.33267192028327,nan,nan,0.5472020261062113,0.584204668039626,nan,nan
39,400,75.7524075623006,10,7.8,0.9665169968398759,0.7441388037859561,-0.629834756929691,0.5568423301494709,2.205897151118016,0.07675426708088086,nan,236.4895588714864,nan,nan,0.48091503287697834,0.5679332928206299,nan,nan
40,400,9.208823722992271,10,1.3,0.513468199941399,0.24993204705773425,-0.5798490802342536,1.1396392465762557,2.948357422739628,3.0020418858109967,nan,242.59817511747065,nan,nan,0.5345674893034182,0.626729293481931,nan,nan
41,480,-0.6931700145267637,10,0.7,0.40487521184751374,0.11405658616670804,-0.5646110003847484,1.3255848321261232,2.1713218134741594,1.750296589897264,nan,248.0859792582461,nan,nan,0.49170268799057426,0.5739468730484919,nan,nan
42,480,0.38987885534141214,10,0.3,0.21537643005975388,-0.1391710183326628,-0.5430455248216555,1.4522519834473977,0.5571313101657595,3.1126248295880083,nan,286.0543521635166,nan,nan,0.5178584663100402,0.5858953993799225,nan,nan
43,480,3.492117495045389,10,0.6,0.3144949509454342,-0.0175973650170413,-0.5578752239830009,1.4940729916275246,5.25223404422438,0.4304489508022346,nan,199.17088101703115,nan,nan,0.5665677469669426,0.6511341668672965,nan,nan
44,480,16.095845921422367,10,2.2,0.7619888667858173,0.5258103468512634,-0.6174394656734628,1.0992717702914236,1.888131517862262,2.8706628711400377,nan,265.3810833953896,nan,nan,0.44507452243198975,0.5258207506498288,nan,nan
